customer_id,first_item_added,last_item_added,discount_applied,item_category,number_of_items,total_price,shipping_region,abandoned_checkout,reason_for_abandonment
381635,2023-06-25 05:49:18,2023-06-25 05:51:18,False,"Clothing, Accessories",4,$156.11,Latin America,True,Changed Mind
799269,2023-06-20 10:43:19,2023-06-20 11:17:19,True,Accessories,2,$96.68,North America,True,Price Comparison
37322,2023-06-27 23:41:02,2023-06-28 00:17:02,False,"Clothing, Shoes, Accessories",5,$225.1,Europe,True,Price Comparison
164763,2023-06-30 10:42:34,2023-06-30 11:24:34,False,"Accessories, Clothing, Shoes",5,$165.42,,True,Price Comparison
392173,2023-06-28 15:27:44,2023-06-28 16:02:44,False,"Accessories, Clothing, Shoes",8,$146.67,North America,False,
159672,2023-06-22 15:40:55,2023-06-22 15:45:55,False,Clothing,10,$682.6,Others,False,
553886,2023-07-10 06:01:52,2023-07-10 06:07:52,True,"Clothing, Accessories",3,$173.96,Latin America,True,Price Comparison
781536,2023-06-30 12:45:01,2023-06-30 12:50:01,True,Accessories,6,$381.03,Africa,True,Price Comparison
565132,2023-06-29 15:18:43,2023-06-29 16:05:43,False,"Accessories, Shoes, Clothing",2,$23.66,Latin America,True,Changed Mind
514908,2023-06-26 19:17:40,2023-06-26 19:34:40,False,Accessories,4,$83.65,Asia,True,Price Comparison
984258,2023-06-30 18:05:59,2023-06-30 18:05:59,False,Accessories,1,$14.93,Europe,False,
217293,2023-06-15 06:53:53,2023-06-15 07:32:53,False,Shoes,4,$197.1,North America,True,Price Comparison
446718,2023-06-22 10:40:44,2023-06-22 11:33:44,True,"Shoes, Clothing",3,$261.91,Latin America,True,Payment Issues
397502,2023-07-10 05:31:30,2023-07-10 06:03:30,False,Accessories,3,$112.39,Others,True,Changed Mind
123055,2023-06-28 19:52:33,2023-06-28 20:11:33,True,Accessories,6,$184.73,Europe,True,High Shipping Costs
636185,2023-06-25 17:35:51,2023-06-25 17:48:51,True,"Accessories, Shoes",6,$82.6,Others,True,Changed Mind
55267,2023-06-17 23:07:05,2023-06-18 00:05:05,True,Clothing,3,$275.57,Europe,True,High Shipping Costs
187686,2023-07-04 10:01:13,2023-07-04 10:32:13,True,Accessories,2,$96.52,Europe,True,Payment Issues
837123,2023-07-05 23:55:04,2023-07-06 00:03:04,False,"Shoes, Accessories, Clothing",9,$270.0,North America,False,
322356,2023-07-10 06:34:57,2023-07-10 06:42:57,True,"Accessories, Shoes",2,$92.93,North America,True,Payment Issues
450570,2023-06-27 01:25:00,2023-06-27 02:06:00,False,"Accessories, Clothing, Shoes",6,$157.06,Others,True,Price Comparison
964851,2023-07-04 00:49:46,2023-07-04 01:25:46,True,Shoes,2,$29.29,Africa,True,Price Comparison
782622,2023-06-24 12:35:19,2023-06-24 13:13:19,False,"Clothing, Accessories",5,$470.5,Others,False,
107530,2023-07-01 04:35:26,2023-07-01 04:40:26,False,Clothing,6,$567.26,Latin America,True,Payment Issues
483171,2023-06-19 10:10:13,2023-06-19 10:29:13,False,"Clothing, Accessories, Shoes",8,$317.31,Others,False,
576081,2023-06-26 05:27:38,2023-06-26 05:38:38,False,"Shoes, Accessories, Clothing",6,$65.11,North America,True,Payment Issues
663550,2023-06-29 10:20:42,2023-06-29 10:38:42,True,"Shoes, Accessories",6,$613.58,Latin America,False,
347134,2023-07-06 15:23:03,2023-07-06 15:37:03,False,"Accessories, Shoes",5,$257.47,North America,True,Price Comparison
607766,2023-07-06 06:51:56,2023-07-06 07:01:56,False,Shoes,8,$775.96,Europe,True,Payment Issues
52074,2023-07-08 15:25:40,2023-07-08 16:19:40,False,Clothing,3,,,True,Payment Issues
473328,2023-06-14 06:18:46,2023-06-14 07:17:46,False,Clothing,5,$427.98,Africa,True,Price Comparison
151683,2023-06-19 22:02:47,2023-06-19 22:03:47,False,"Shoes, Clothing",6,$156.28,Latin America,True,Payment Issues
769820,2023-06-20 16:31:52,2023-06-20 17:23:52,False,Shoes,2,$207.59,,True,Payment Issues
664676,2023-06-28 16:56:59,2023-06-28 17:47:59,False,Clothing,5,$190.98,Others,True,Price Comparison
546697,2023-07-11 22:40:25,2023-07-11 23:09:25,False,"Shoes, Clothing, Accessories",4,$306.28,Europe,True,Payment Issues
171777,2023-07-06 12:25:50,2023-07-06 12:56:50,False,Accessories,5,$360.82,Africa,True,Changed Mind
474613,2023-06-21 12:43:59,2023-06-21 12:46:59,False,"Accessories, Clothing",3,$206.79,Asia,True,Price Comparison
242915,2023-06-29 23:26:55,2023-06-30 00:09:55,False,"Shoes, Clothing",6,,North America,True,Payment Issues
957220,2023-06-24 09:46:00,2023-06-24 09:59:00,True,"Shoes, Clothing",6,$145.43,Latin America,True,High Shipping Costs
302308,2023-06-15 10:02:18,2023-06-15 10:02:18,True,Shoes,1,$20.69,Latin America,False,
367593,2023-06-17 20:15:57,2023-06-17 20:18:57,False,"Accessories, Clothing",6,$600.47,Latin America,True,Payment Issues
870263,2023-06-22 08:52:41,2023-06-22 09:26:41,False,Accessories,2,$169.9,Asia,True,Price Comparison
485634,2023-06-19 09:00:36,2023-06-19 09:57:36,False,Accessories,4,$57.74,Latin America,True,Changed Mind
698535,2023-06-25 12:20:00,2023-06-25 13:15:00,False,"Shoes, Accessories",3,$37.48,Africa,False,
495957,2023-06-16 07:53:52,2023-06-16 07:57:52,False,"Shoes, Clothing, Accessories",8,$628.99,Europe,True,Payment Issues
291131,2023-06-29 09:47:30,2023-06-29 10:08:30,False,"Clothing, Shoes",8,$129.2,Europe,False,
824014,2023-06-24 07:57:54,2023-06-24 08:17:54,False,"Shoes, Clothing, Accessories",2,$191.0,Latin America,True,Price Comparison
25088,2023-07-08 06:01:55,2023-07-08 06:11:55,False,"Shoes, Accessories",2,$176.95,Europe,True,Changed Mind
250743,2023-07-06 23:16:37,2023-07-07 00:16:37,True,"Clothing, Shoes",7,$414.57,Asia,False,
574005,2023-06-18 06:30:15,2023-06-18 07:11:15,True,Clothing,7,$401.04,,False,
386991,2023-07-05 22:14:58,2023-07-05 23:00:58,False,"Accessories, Clothing",6,$400.79,Europe,True,Price Comparison
39345,2023-07-01 11:29:56,2023-07-01 11:33:56,True,"Shoes, Clothing",4,$302.11,Others,True,Price Comparison
120428,2023-07-10 20:30:30,2023-07-10 20:33:30,True,"Shoes, Accessories",10,$741.18,Africa,False,
669296,2023-07-02 18:57:19,2023-07-02 19:54:19,False,Accessories,2,$129.33,Asia,True,Payment Issues
362018,2023-06-27 03:18:05,2023-06-27 04:03:05,True,Shoes,3,$213.9,North America,False,
240447,2023-07-09 11:15:04,2023-07-09 12:03:04,False,"Accessories, Shoes, Clothing",3,$166.19,North America,True,Price Comparison
436241,2023-07-04 10:29:02,2023-07-04 11:23:02,True,"Accessories, Shoes",7,$492.51,Latin America,True,Price Comparison
98688,2023-06-24 06:11:13,2023-06-24 06:25:13,False,Accessories,3,$270.59,Europe,True,Price Comparison
722937,2023-07-03 17:28:18,2023-07-03 18:27:18,True,"Shoes, Clothing",3,$230.32,Africa,True,Price Comparison
681193,2023-06-14 06:00:10,2023-06-14 06:45:10,True,"Shoes, Accessories",3,$145.26,Africa,True,Price Comparison
813665,2023-06-22 04:29:16,2023-06-22 04:58:16,False,Accessories,7,$636.12,North America,False,
50248,2023-06-14 14:09:44,2023-06-14 14:55:44,False,"Accessories, Clothing, Shoes",3,$244.47,North America,True,Price Comparison
21829,2023-07-01 03:53:01,2023-07-01 04:19:01,False,Accessories,3,$270.66,Europe,True,Payment Issues
659673,2023-07-10 02:44:12,2023-07-10 03:09:12,True,"Accessories, Shoes",5,$79.1,Others,True,Price Comparison
759819,2023-07-06 21:05:34,2023-07-06 21:49:34,False,Accessories,6,$365.59,,True,Price Comparison
342973,2023-06-28 08:05:09,2023-06-28 08:40:09,False,"Accessories, Clothing, Shoes",3,$305.04,North America,True,Payment Issues
193574,2023-06-29 16:13:26,2023-06-29 17:12:26,False,Accessories,5,$74.56,Others,True,Price Comparison
919020,2023-06-24 02:09:33,2023-06-24 02:47:33,False,"Clothing, Shoes",7,$440.07,Europe,True,Price Comparison
645582,2023-06-28 11:31:55,2023-06-28 12:13:55,False,"Shoes, Accessories",2,$137.7,Asia,True,Changed Mind
431894,2023-06-26 10:58:53,2023-06-26 11:25:53,False,"Accessories, Clothing",7,$462.82,Others,True,Price Comparison
852906,2023-06-14 09:52:21,2023-06-14 10:47:21,True,Shoes,7,$493.05,,False,
768937,2023-07-01 23:43:42,2023-07-01 23:58:42,True,"Shoes, Clothing, Accessories",5,$361.7,Asia,False,
210569,2023-07-09 10:06:14,2023-07-09 10:43:14,False,Accessories,7,$461.14,Europe,True,Price Comparison
840895,2023-06-14 08:26:10,2023-06-14 09:25:10,False,Clothing,6,$185.21,Asia,True,High Shipping Costs
314884,2023-06-26 08:35:50,2023-06-26 09:12:50,False,Clothing,7,$594.76,Europe,True,Price Comparison
448882,2023-06-19 02:34:43,2023-06-19 03:10:43,False,"Accessories, Shoes, Clothing",2,$155.74,Asia,True,High Shipping Costs
579667,2023-06-15 14:46:04,2023-06-15 14:59:04,True,"Shoes, Clothing",3,$245.27,Others,True,Price Comparison
755657,2023-07-12 17:21:52,2023-07-12 17:26:52,False,Shoes,4,$218.77,North America,False,
143481,2023-06-17 20:26:26,2023-06-17 20:32:26,False,"Accessories, Shoes",3,$202.75,Asia,True,Price Comparison
595919,2023-06-23 08:33:30,2023-06-23 09:28:30,True,"Shoes, Clothing, Accessories",9,$706.11,Africa,False,
719718,2023-07-09 22:41:50,2023-07-09 23:27:50,False,"Clothing, Shoes",5,$113.72,,True,Payment Issues
743599,2023-06-25 15:45:42,2023-06-25 16:06:42,False,"Accessories, Clothing",2,$135.8,Others,True,Price Comparison
49261,2023-07-03 15:23:37,2023-07-03 15:52:37,False,Accessories,3,$127.71,Africa,True,Price Comparison
272587,2023-06-25 05:07:00,2023-06-25 05:55:00,False,"Shoes, Clothing",6,$149.57,Others,False,
631870,2023-06-17 03:21:51,2023-06-17 03:28:51,True,Clothing,2,$80.94,Africa,True,Changed Mind
596754,2023-06-24 18:06:27,2023-06-24 18:34:27,False,"Clothing, Shoes",3,$137.11,Latin America,True,Payment Issues
774870,2023-06-29 13:55:57,2023-06-29 14:41:57,False,"Shoes, Clothing, Accessories",4,$68.56,Africa,True,Payment Issues
811954,2023-06-14 12:07:43,2023-06-14 12:33:43,False,"Accessories, Shoes, Clothing",7,$204.75,Asia,True,Price Comparison
279991,2023-07-07 01:31:41,2023-07-07 02:28:41,False,"Shoes, Clothing, Accessories",8,$632.48,Europe,True,Price Comparison
798475,2023-07-09 02:57:36,2023-07-09 03:56:36,False,"Accessories, Clothing, Shoes",2,$46.17,,True,Price Comparison
833014,2023-07-12 11:24:39,2023-07-12 12:20:39,True,Accessories,6,$130.11,North America,True,Changed Mind
899646,2023-07-12 12:50:01,2023-07-12 13:22:01,True,"Accessories, Shoes, Clothing",4,$322.01,,True,Payment Issues
338535,2023-06-20 10:36:33,2023-06-20 10:46:33,False,"Clothing, Accessories, Shoes",5,$65.61,Latin America,True,Payment Issues
52965,2023-06-14 10:36:31,2023-06-14 10:36:31,True,Accessories,1,$71.62,North America,False,
579222,2023-06-30 19:53:28,2023-06-30 20:28:28,True,"Accessories, Shoes",3,$302.54,Asia,True,Payment Issues
563377,2023-06-26 14:38:17,2023-06-26 15:15:17,True,Shoes,5,$183.81,Others,True,Changed Mind
755374,2023-07-11 02:40:40,2023-07-11 03:16:40,False,Clothing,4,$341.04,Others,False,
394344,2023-07-01 14:01:53,2023-07-01 14:36:53,True,"Clothing, Accessories",6,$153.4,Latin America,True,Payment Issues
870053,2023-07-09 22:24:39,2023-07-09 22:51:39,False,Accessories,3,$113.93,Europe,True,Price Comparison
643633,2023-06-19 04:45:59,2023-06-19 05:34:59,True,Accessories,5,$496.54,Europe,True,Changed Mind
60405,2023-06-30 02:26:26,2023-06-30 02:54:26,True,Clothing,3,$152.6,Latin America,True,Payment Issues
792743,2023-07-12 08:58:36,2023-07-12 09:48:36,True,"Clothing, Accessories",9,$560.36,Europe,False,
171790,2023-06-30 02:13:18,2023-06-30 03:12:18,False,Clothing,2,$123.27,North America,True,Price Comparison
852329,2023-06-20 19:51:04,2023-06-20 20:20:04,True,Accessories,5,$50.8,,False,
216714,2023-06-23 18:06:37,2023-06-23 18:41:37,False,"Clothing, Accessories, Shoes",5,$391.58,Europe,True,Price Comparison
134438,2023-07-10 01:55:41,2023-07-10 02:30:41,True,"Accessories, Shoes, Clothing",3,$219.63,Africa,True,Price Comparison
